pH,E.C.,HCO3,Cl,NO3,SO4,TH,Ca,Mg,Na,K
7.96,520.0,317,14.0,0.09,1.8,180,32,24.0,41.0,0.89
8.3,650.0,403,7.1,0.38,3.9,90,20,9.7,113.0,1.06
8.25,500.0,293,7.1,0.06,5.8,200,52,17.0,27.0,1.34
8.27,570.0,342,7.1,0.28,4.2,120,24,15.0,77.0,1.53
8.19,500.0,293,7.1,1.46,8.9,200,64,9.7,27.0,1.7
8.06,450.0,256,7.1,8.201971830985915,11,170,28,24.0,31.0,1.87
7.8,750.0,342,43.0,0.68,43,230,44,29.0,63.0,2.57
8.15,369.0,207,7.1,8.201971830985915,30.762098765432114,160,36,17.0,9.5,1.38
8.18,597.0,342,14.0,2.31,30.762098765432114,260,56,29.0,15.0,1.56
8.24,620.0,317,7.1,0.02,54,260,36,41.0,27.0,1.95
8.07,699.0,354,21.0,0.28,9,310,44,49.0,11.0,8.72
7.9,684.0,366,7.1,1.54,20,310,56,41.0,15.0,2.05
8.2,490.0,195,7.1,3.92,65,230,20,44.0,7.2,1.71
8.2,510.0,293,7.1,3.68,8,230,48,27.0,8.5,1.71
8.2,510.0,293,14.0,0.47,2,240,36,36.0,5.9,2.19
7.8,661.0,293,50.0,0.26,22,290,36,49.0,25.0,2.27
8.14,740.0,390,14.0,0.12,26,320,40,54.0,29.0,3.26
7.9,627.0,354,7.1,0.12,20,270,52,34.0,17.0,1.6
7.8,6.2,366,14.0,8.201971830985915,1,270,40,41.0,16.0,1.53
7.9,650.0,390,7.1,0.02,5,290,48,41.0,16.0,1.5
7.8,725.0,366,21.0,0.11,50,280,52,36.0,40.0,1.54
7.7,680.0,390,7.1,9.8,14,320,48,49.0,8.9,1.24
7.8,650.0,305,14.0,0.21,69,280,28,51.0,24.0,1.18
8.14,399.0,207,7.1,2.3,2,170,32,22.0,9.6,1.23
8.0,350.0,207,7.1,8.201971830985915,5,150,32,17.0,12.0,2.38
7.9,413.0,232,7.1,5.2,17,190,40,22.0,8.9,2.89
8.1,343.0,183,7.1,0.13,15,150,48,7.3,7.4,2.33
8.1,370.0,195,7.1,0.73,20,150,44,9.7,15.0,1.41
7.9,450.0,268,7.1,8.201971830985915,8,170,48,12.0,26.0,1.84
8.0,360.0,207,7.1,8.201971830985915,7.7,130,32,12.0,27.0,1.89
8.0,450.0,268,7.1,8.201971830985915,15,160,40,15.0,34.0,1.16
8.2,450.0,256,7.1,0.07,20,170,40,17.0,31.0,1.65
8.1,501.0,220,7.1,0.71,55,230,52,24.0,12.0,1.66
8.15,343.0,183,7.1,0.34,23,140,40,9.7,16.0,1.63
7.97,371.0,220,7.1,8.201971830985915,8,150,44,9.7,19.0,1.58
7.84,700.0,366,21.0,1.8,28,240,44,32.0,41.0,13.8
7.9,414.0,220,7.1,0.57,30.762098765432114,160,44,12.0,17.0,1.17
7.9,398.0,244,7.1,8.201971830985915,0.5,170,44,15.0,14.0,1.44
8.1,510.0,317,7.1,1.27,30.762098765432114,200,44,22.0,29.0,2.8
7.7,399.0,220,7.1,0.39,30.762098765432114,160,56,4.9,9.3,2.22
7.6,430.0,256,7.1,0.29,30.762098765432114,190,60,9.7,9.6,2.3
8.1,350.0,207,7.1,8.201971830985915,30.762098765432114,160,44,12.0,8.3,2.61
8.1,750.0,403,7.1,0.13,30,220,40,29.0,77.0,1.13
8.2,400.0,232,7.1,6.56,2,180,48,15.0,9.2,2.64
8.2,410.0,232,7.1,8.36,2.2,180,56,9.7,8.4,2.71
8.2,354.0,183,7.1,3.2,23,150,40,12.0,15.0,2.24
8.1,360.0,183,7.1,4.54,24,150,36,15.0,16.0,2.27
8.1,685.0,256,85.0,0.68,23,260,52,32.0,39.0,1.96
8.0,632.0,354,14.0,2.4,35,33,64,41.3,8.2,1.5
7.8,523.0,305,11.0,14,11,265,84,13.4,11.0,1.5
7.9,458.0,268,14.0,7.6,6.6,230,60,19.5,9.5,1.6
7.9,543.0,232,7.1,6.8,86,285,60,32.8,5.5,1.1
8.0,302.0,171,7.1,0.21,16,150,32,17.0,6.9,1.0
8.1,661.0,329,14.0,4.2,65,350,64,46.2,5.8,1.3
8.1,553.0,293,21.0,19,19,255,68,20.7,21.0,4.7
8.0,473.0,281,7.1,9,9.2,240,76,12.2,8.0,1.2
7.9,412.0,256,7.1,1.1,5.8,200,56,14.6,11.0,1.6
8.0,175.0,92,11.0,1.22,3.3,90,20,9.7,1.8,0.69
7.9,356.0,183,14.0,10,12,180,44,17.0,6.5,1.5
7.8,498.0,256,14.0,5.6,38,270,36,43.8,1.4,0.84
8.0,279.0,146,7.1,6.2,12,130,32,12.2,8.2,2.8
7.9,324.0,171,14.0,0.26,15,160,36,17.0,8.1,1.0
8.0,573.0,262,32.0,44,18,270,80,17.0,20.0,3.3
8.0,291.0,153,14.0,4.3,13,140,44,7.3,8.9,1.8
7.9,252.0,67,32.0,22,17,100,32,7.9,14.0,5.0
7.9,570.0,98,64.0,110,43,160,52,7.3,62.0,12.0
8.0,154.0,73,7.1,0.88,6.9,60,12,7.3,8.1,2.1
